0x2631	0x247A	# PARENTHESIZED DIGIT SEVEN
0x2632	0x247B	# PARENTHESIZED DIGIT EIGHT
0x2633	0x247C	# PARENTHESIZED DIGIT NINE
0x2634	0x247D	# PARENTHESIZED NUMBER TEN
0x2635	0x2170	# SMALL ROMAN NUMERAL ONE
0x2636	0x2171	# SMALL ROMAN NUMERAL TWO
0x2637	0x2172	# SMALL ROMAN NUMERAL THREE
0x2638	0x2173	# SMALL ROMAN NUMERAL FOUR
0x2639	0x2174	# SMALL ROMAN NUMERAL FIVE
0x263A	0x2175	# SMALL ROMAN NUMERAL SIX
0x263B	0x2176	# SMALL ROMAN NUMERAL SEVEN
0x263C	0x2177	# SMALL ROMAN NUMERAL EIGHT
0x263D	0x2178	# SMALL ROMAN NUMERAL NINE
0x263E	0x2179	# SMALL ROMAN NUMERAL TEN
